ID,Pixel_X,Pixel_Y,Latitude,Longitude,MaxMigration_m,YearPair
1,548,581.5898,9.014068,5.247974,420,2001-2003
2,550,568.4102,9.017637,5.248542,400.2499,2003-2005
3,341.7696,391.6405,9.065912,5.192038,108.1665,2005-2007
4,391.2304,479.5899,9.041984,5.205385,127.2792,2007-2009
5,1195,709.5898,8.978244,5.424195,313.2092,2009-2011
6,1193,701,8.980577,5.423665,256.3201,2011-2013
7,355,405.7696,9.062059,5.195624,84.85281,2013-2015
8,1130,703.4608,8.980021,5.406482,120,2015-2017
9,354.4,430,9.05549,5.19542,499.2995,2017-2019
10,368.5392,418,9.058721,5.199297,536.6563,2019-2021
11,996,652.3595,8.994113,5.370032,108.1665,2021-2023
12,1010,655.4102,8.993261,5.373844,192.0937,2023-2025
