X,Y,dX_m,dY_m,Magnitude_m,YearPair
730725,1010925,0,0,0,2001-2003
730755,1010895,0,0,0,2001-2003
730785,1010865,0,0,0,2001-2003
730815,1010835,-30,0,30,2001-2003
730845,1010805,0,0,0,2001-2003
730875,1010805,0,0,0,2001-2003
730905,1010805,0,0,0,2001-2003
730935,1010775,0,0,0,2001-2003
730965,1010775,0,0,0,2001-2003
730995,1010745,0,0,0,2001-2003
731025,1010745,0,0,0,2001-2003
731055,1010715,0,0,0,2001-2003
731085,1010715,0,0,0,2001-2003
731115,1010685,0,0,0,2001-2003
731145,1010685,0,0,0,2001-2003
731175,1010655,0,0,0,2001-2003
731205,1010655,0,0,0,2001-2003
731235,1010625,0,0,0,2001-2003
731265,1010625,0,0,0,2001-2003
731295,1010625,0,0,0,2001-2003
731325,1010595,0,0,0,2001-2003
731355,1010595,0,0,0,2001-2003
731385,1010595,0,0,0,2001-2003
731415,1010595,-30,0,30,2001-2003
731445,1010565,-30,0,30,2001-2003
731475,1010565,0,30,30,2001-2003
731505,1010565,0,30,30,2001-2003
731535,1010535,-30,0,30,2001-2003
731565,1010535,0,30,30,2001-2003
731595,1010535,0,30,30,2001-2003
731625,1010505,-30,0,30,2001-2003
731655,1010505,0,30,30,2001-2003
731685,1010505,-30,30,42.4264068711929,2001-2003
731715,1010475,0,30,30,2001-2003
731745,1010475,-30,30,42.4264068711929,2001-2003
731775,1010475,0,60,60,2001-2003
731805,1010475,0,60,60,2001-2003
731835,1010475,-30,60,67.0820393249937,2001-2003
731865,1010445,0,60,60,2001-2003
731895,1010445,0,60,60,2001-2003
731925,1010445,-30,60,67.0820393249937,2001-2003
731955,1010415,0,60,60,2001-2003
731985,1010415,0,60,60,2001-2003
732015,1010415,0,60,60,2001-2003
732045,1010415,0,60,60,2001-2003
732075,1010385,0,30,30,2001-2003
732105,1010385,0,30,30,2001-2003
732135,1010385,0,30,30,2001-2003
732165,1010355,0,0,0,2001-2003
732195,1010355,0,0,0,2001-2003
732225,1010355,0,0,0,2001-2003
732255,1010325,0,0,0,2001-2003
732285,1010325,0,0,0,2001-2003
732315,1010325,0,0,0,2001-2003
732345,1010325,0,0,0,2001-2003
732375,1010325,0,0,0,2001-2003
732405,1010325,0,0,0,2001-2003
732435,1010295,0,-30,30,2001-2003
732465,1010295,0,0,0,2001-2003
732495,1010295,0,0,0,2001-2003
732525,1010265,0,-30,30,2001-2003
732555,1010265,0,-30,30,2001-2003
732585,1010265,0,-30,30,2001-2003
732615,1010265,0,0,0,2001-2003
732645,1010265,0,0,0,2001-2003
732675,1010265,0,0,0,2001-2003
732705,1010235,0,-30,30,2001-2003
732735,1010235,0,-30,30,2001-2003
732765,1010235,0,0,0,2001-2003
732795,1010205,0,-30,30,2001-2003
732825,1010205,0,-30,30,2001-2003
732855,1010205,0,-30,30,2001-2003
732885,1010205,0,-30,30,2001-2003
732915,1010205,0,0,0,2001-2003
732945,1010205,0,0,0,2001-2003
732975,1010205,0,0,0,2001-2003
733005,1010175,0,-30,30,2001-2003
733035,1010175,0,0,0,2001-2003
733065,1010175,0,0,0,2001-2003
733095,1010175,0,0,0,2001-2003
733125,1010145,0,0,0,2001-2003
733155,1010145,0,0,0,2001-2003
733185,1010145,0,0,0,2001-2003
733215,1010115,0,-30,30,2001-2003
733245,1010115,0,0,0,2001-2003
733275,1010085,0,-30,30,2001-2003
733305,1010085,0,0,0,2001-2003
733335,1010085,0,0,0,2001-2003
733365,1010085,0,0,0,2001-2003
733395,1010055,0,-30,30,2001-2003
733425,1010055,0,0,0,2001-2003
733455,1010055,-30,0,30,2001-2003
733485,1010055,0,30,30,2001-2003
733515,1010025,0,0,0,2001-2003
733545,1010025,0,0,0,2001-2003
733575,1009995,0,0,0,2001-2003
733605,1009995,0,0,0,2001-2003
733635,1009995,0,0,0,2001-2003
