Year,Nodes,Links,NodeDensity,BranchingIntensity
2001,69,137,1.61498708010336,1.98550724637681
2003,76,146,1.77132642049891,1.92105263157895
2005,31,70,0.760396583611737,2.25806451612903
2007,55,109,1.38895202307176,1.98181818181818
2009,49,101,1.42178582102328,2.06122448979592
2011,20,42,0.501902209373526,2.1
2013,23,48,0.578023060606975,2.08695652173913
2015,31,66,0.785309145811642,2.12903225806452
2017,21,44,0.527819877696594,2.0952380952381
2019,26,60,0.662543606836431,2.30769230769231
2021,25,52,0.619348445435402,2.08
2023,35,76,0.918425451406109,2.17142857142857
2025,27,56,0.66414292355715,2.07407407407407
