YearPair,MeanMigration_m,MaxMigration_m,Direction
2001-2003,0.603865625662679,240,Erosion-dominated
2003-2005,0.428919896106699,228.635936672052,Expansion
2005-2007,0.690524759122451,395.773590192521,Erosion-dominated
2007-2009,0.889654559605455,399.04281234616,Expansion
2009-2011,1.27162206310342,485.392280956058,Erosion-dominated
2011-2013,0.0799607970740447,45.5577677688633,Expansion
2013-2015,0.287098310440242,263.144253137293,Erosion-dominated
2015-2017,0.276521359205651,263.144253137293,Erosion-dominated
2017-2019,0.262097380730979,188.766133247529,Expansion
2019-2021,0.257878718710319,192.093727122985,Erosion-dominated
2021-2023,0.816885258576859,430.913771670398,Expansion
2023-2025,0.823950137097485,425.520377941893,Erosion-dominated
