Year,MeanWidth_m,MinWidth_m,MaxWidth_m,StdDev_m,Avg_Width
2001,792.7371207,360.2586591,1700,272.2342725,807.0282777
2003,834.9116904,308.5093643,1875,289.224472,
2005,802.937431,351.4718626,1679.083475,277.0279516,
2007,826.3135587,355.8652609,1796.011294,271.3701888,
2009,784.0595956,298.7510832,1739.885941,269.6398096,
2011,795.9731689,281.6652224,1795,279.1665895,
2013,814.3053797,374.1690196,1786.657068,274.4363847,
2015,820.0489834,8.284271247,1910,269.6663673,
2017,814.7515203,289.9494937,1855,278.5252504,
2019,732.3965233,43.25092754,1848,254.91871,
2021,827.3587021,397.5545833,1810,264.6658107,
2023,828.0720792,390.2829308,1725.854603,267.0934864,
2025,817.5018563,369.0454557,1847.459534,279.5666846,
