Year,ChannelLength_m,ValleyLength_m,Sinuosity,Avg_Channel_Length
2001,53527.53027,46917.33368,1.140890286,53470.01362
2003,53766.64715,46957.85877,1.144997846,
2005,53569.95667,46971.39768,1.140480363,
2007,53283.2662,46944.33512,1.135030799,
2009,53518.11901,46957.85877,1.139705268,
2011,53311.13416,46944.33512,1.135624437,
2013,53428.11901,46944.33512,1.138116428,
2015,53564.80949,46930.82676,1.141356613,
2017,53482.08871,46944.33512,1.139266081,
2019,53448.70776,46917.33368,1.139210257,
2021,53433.2662,46903.85592,1.13920839,
2023,53350.54542,46890.39347,1.137771332,
2025,53425.98698,46823.3115,1.14101257,
