Year,ChannelLength_m,ValleyLength_m,Sinuosity
2001,53527.5302655402,46917.3336838316,1.14089028643984
2003,53766.6471479945,46957.8587671968,1.14499784614443
2005,53569.9566724114,46971.3976798647,1.1404803629119
2007,53283.2661968282,46944.3351215032,1.13503079890083
2009,53518.1190105706,46957.8587671968,1.13970526799141
2011,53311.1341624723,46944.3351215032,1.13562443742126
2013,53428.1190105706,46944.3351215032,1.13811642815445
2015,53564.8094861537,46930.826755982,1.1413566133123
2017,53482.0887067673,46944.3351215032,1.13926608116491
2019,53448.7077556011,46917.3336838316,1.13921025682711
2021,53433.2661968282,46903.8559182505,1.13920839024318
2023,53350.5454174418,46890.3934724374,1.13777133153727
2025,53425.9869762147,46823.3115018577,1.14101256964909
