Year,Nodes,Links,NodeDensity,BranchingIntensity
2001,17,36,0.402490707199848,2.11764705882353
2003,18,38,0.404932072644814,2.11111111111111
2005,13,28,0.303671623521937,2.15384615384615
2007,16,34,0.365730168853047,2.125
2009,17,36,0.408461397995175,2.11764705882353
2011,23,45,0.54381621849117,1.95652173913043
2013,23,45,0.532584935719314,1.95652173913043
2015,14,30,0.319422484148659,2.14285714285714
2017,15,32,0.346140533056421,2.13333333333333
2019,13,28,0.332729301677979,2.15384615384615
2021,18,38,0.409156932141323,2.11111111111111
2023,12,26,0.273509883963432,2.16666666666667
2025,14,30,0.321668263519832,2.14285714285714
